Epoch 0:   0%|          | 60/27187 [00:02<21:06, 21.42it/s, loss=0.524, v_num=0, train_loss=0.311, train_acc=0.875]
Epoch 0:   0%|          | 61/27187 [00:02<21:01, 21.50it/s, loss=0.524, v_num=0, train_loss=0.311, train_acc=0.875]
Epoch 0:   0%|          | 61/27187 [00:02<21:01, 21.50it/s, loss=0.525, v_num=0, train_loss=0.491, train_acc=0.875]
Epoch 0:   0%|          | 62/27187 [00:02<20:56, 21.58it/s, loss=0.525, v_num=0, train_loss=0.491, train_acc=0.875]
Epoch 0:   0%|          | 62/27187 [00:02<20:56, 21.58it/s, loss=0.529, v_num=0, train_loss=0.290, train_acc=0.875]
Epoch 0:   0%|          | 63/27187 [00:02<20:53, 21.63it/s, loss=0.529, v_num=0, train_loss=0.290, train_acc=0.875]
Epoch 0:   0%|          | 63/27187 [00:02<20:53, 21.63it/s, loss=0.509, v_num=0, train_loss=0.561, train_acc=0.750]
Epoch 0:   0%|          | 64/27187 [00:02<20:47, 21.74it/s, loss=0.509, v_num=0, train_loss=0.561, train_acc=0.750]
Epoch 0:   0%|          | 64/27187 [00:02<20:47, 21.73it/s, loss=0.519, v_num=0, train_loss=0.625, train_acc=0.750]
Epoch 0:   0%|          | 65/27187 [00:02<20:41, 21.84it/s, loss=0.519, v_num=0, train_loss=0.625, train_acc=0.750]
Epoch 0:   0%|          | 65/27187 [00:02<20:41, 21.84it/s, loss=0.503, v_num=0, train_loss=0.356, train_acc=0.875]
Epoch 0:   0%|          | 66/27187 [00:03<20:36, 21.94it/s, loss=0.503, v_num=0, train_loss=0.356, train_acc=0.875]
Epoch 0:   0%|          | 66/27187 [00:03<20:36, 21.94it/s, loss=0.501, v_num=0, train_loss=0.473, train_acc=0.875]
Epoch 0:   0%|          | 67/27187 [00:03<20:30, 22.04it/s, loss=0.501, v_num=0, train_loss=0.473, train_acc=0.875]
Epoch 0:   0%|          | 67/27187 [00:03<20:30, 22.04it/s, loss=0.5, v_num=0, train_loss=0.274, train_acc=0.875]  
Epoch 0:   0%|          | 68/27187 [00:03<20:26, 22.11it/s, loss=0.5, v_num=0, train_loss=0.274, train_acc=0.875]
Epoch 0:   0%|          | 68/27187 [00:03<20:26, 22.11it/s, loss=0.511, v_num=0, train_loss=0.612, train_acc=0.625]
Epoch 0:   0%|          | 69/27187 [00:03<20:21, 22.20it/s, loss=0.511, v_num=0, train_loss=0.612, train_acc=0.625]
Epoch 0:   0%|          | 69/27187 [00:03<20:21, 22.20it/s, loss=0.517, v_num=0, train_loss=0.633, train_acc=0.750]
Epoch 0:   0%|          | 70/27187 [00:03<20:15, 22.30it/s, loss=0.517, v_num=0, train_loss=0.633, train_acc=0.750]
Epoch 0:   0%|          | 70/27187 [00:03<20:16, 22.30it/s, loss=0.54, v_num=0, train_loss=0.819, train_acc=0.750] 
Epoch 0:   0%|          | 71/27187 [00:03<20:10, 22.39it/s, loss=0.54, v_num=0, train_loss=0.819, train_acc=0.750]
Epoch 0:   0%|          | 71/27187 [00:03<20:10, 22.39it/s, loss=0.545, v_num=0, train_loss=0.572, train_acc=0.625]
Epoch 0:   0%|          | 72/27187 [00:03<20:08, 22.43it/s, loss=0.545, v_num=0, train_loss=0.572, train_acc=0.625]
Epoch 0:   0%|          | 72/27187 [00:03<20:09, 22.42it/s, loss=0.528, v_num=0, train_loss=0.416, train_acc=0.625]
Epoch 0:   0%|          | 73/27187 [00:03<20:07, 22.46it/s, loss=0.528, v_num=0, train_loss=0.416, train_acc=0.625]
Epoch 0:   0%|          | 73/27187 [00:03<20:07, 22.46it/s, loss=0.519, v_num=0, train_loss=0.875, train_acc=0.500]
Epoch 0:   0%|          | 74/27187 [00:03<20:05, 22.49it/s, loss=0.519, v_num=0, train_loss=0.875, train_acc=0.500]
Epoch 0:   0%|          | 74/27187 [00:03<20:05, 22.48it/s, loss=0.507, v_num=0, train_loss=0.312, train_acc=0.750]
Epoch 0:   0%|          | 75/27187 [00:03<20:03, 22.52it/s, loss=0.507, v_num=0, train_loss=0.312, train_acc=0.750]
Epoch 0:   0%|          | 75/27187 [00:03<20:03, 22.52it/s, loss=0.479, v_num=0, train_loss=0.357, train_acc=0.875]
Epoch 0:   0%|          | 76/27187 [00:03<20:01, 22.56it/s, loss=0.479, v_num=0, train_loss=0.357, train_acc=0.875]
Epoch 0:   0%|          | 76/27187 [00:03<20:02, 22.55it/s, loss=0.468, v_num=0, train_loss=0.360, train_acc=0.875]
Epoch 0:   0%|          | 77/27187 [00:03<20:00, 22.59it/s, loss=0.468, v_num=0, train_loss=0.360, train_acc=0.875]
Epoch 0:   0%|          | 77/27187 [00:03<20:00, 22.59it/s, loss=0.483, v_num=0, train_loss=0.562, train_acc=0.500]
Epoch 0:   0%|          | 78/27187 [00:03<19:58, 22.62it/s, loss=0.483, v_num=0, train_loss=0.562, train_acc=0.500]
Epoch 0:   0%|          | 78/27187 [00:03<19:58, 22.62it/s, loss=0.502, v_num=0, train_loss=0.704, train_acc=0.625]
Epoch 0:   0%|          | 79/27187 [00:03<19:56, 22.65it/s, loss=0.502, v_num=0, train_loss=0.704, train_acc=0.625]
Epoch 0:   0%|          | 79/27187 [00:03<19:57, 22.65it/s, loss=0.497, v_num=0, train_loss=0.342, train_acc=1.000]
Epoch 0:   0%|          | 80/27187 [00:03<19:56, 22.66it/s, loss=0.497, v_num=0, train_loss=0.342, train_acc=1.000]
Epoch 0:   0%|          | 80/27187 [00:03<19:56, 22.66it/s, loss=0.513, v_num=0, train_loss=0.625, train_acc=0.500]
Epoch 0:   0%|          | 81/27187 [00:03<19:54, 22.69it/s, loss=0.513, v_num=0, train_loss=0.625, train_acc=0.500]
Epoch 0:   0%|          | 81/27187 [00:03<19:54, 22.69it/s, loss=0.548, v_num=0, train_loss=1.210, train_acc=0.500]
Epoch 0:   0%|          | 82/27187 [00:03<19:54, 22.69it/s, loss=0.548, v_num=0, train_loss=1.210, train_acc=0.500]
Epoch 0:   0%|          | 82/27187 [00:03<19:54, 22.69it/s, loss=0.565, v_num=0, train_loss=0.615, train_acc=0.875]
Epoch 0:   0%|          | 83/27187 [00:03<19:52, 22.72it/s, loss=0.565, v_num=0, train_loss=0.615, train_acc=0.875]
Epoch 0:   0%|          | 83/27187 [00:03<19:53, 22.72it/s, loss=0.55, v_num=0, train_loss=0.271, train_acc=1.000] 
Epoch 0:   0%|          | 84/27187 [00:03<19:53, 22.71it/s, loss=0.55, v_num=0, train_loss=0.271, train_acc=1.000]
Epoch 0:   0%|          | 84/27187 [00:03<19:53, 22.71it/s, loss=0.537, v_num=0, train_loss=0.352, train_acc=1.000]
Epoch 0:   0%|          | 85/27187 [00:03<19:52, 22.73it/s, loss=0.537, v_num=0, train_loss=0.352, train_acc=1.000]
Epoch 0:   0%|          | 85/27187 [00:03<19:52, 22.73it/s, loss=0.535, v_num=0, train_loss=0.333, train_acc=1.000]
Epoch 0:   0%|          | 86/27187 [00:03<19:53, 22.70it/s, loss=0.535, v_num=0, train_loss=0.333, train_acc=1.000]
Epoch 0:   0%|          | 86/27187 [00:03<19:53, 22.70it/s, loss=0.548, v_num=0, train_loss=0.729, train_acc=0.500]
Epoch 0:   0%|          | 87/27187 [00:03<19:54, 22.68it/s, loss=0.548, v_num=0, train_loss=0.729, train_acc=0.500]
Epoch 0:   0%|          | 87/27187 [00:03<19:54, 22.68it/s, loss=0.551, v_num=0, train_loss=0.332, train_acc=0.750]
Epoch 0:   0%|          | 88/27187 [00:03<19:54, 22.69it/s, loss=0.551, v_num=0, train_loss=0.332, train_acc=0.750]
Epoch 0:   0%|          | 88/27187 [00:03<19:54, 22.69it/s, loss=0.543, v_num=0, train_loss=0.449, train_acc=0.750]
Epoch 0:   0%|          | 89/27187 [00:03<19:52, 22.73it/s, loss=0.543, v_num=0, train_loss=0.449, train_acc=0.750]
Epoch 0:   0%|          | 89/27187 [00:03<19:52, 22.72it/s, loss=0.527, v_num=0, train_loss=0.303, train_acc=1.000]
Epoch 0:   0%|          | 90/27187 [00:03<19:51, 22.75it/s, loss=0.527, v_num=0, train_loss=0.303, train_acc=1.000]
Epoch 0:   0%|          | 90/27187 [00:03<19:51, 22.74it/s, loss=0.497, v_num=0, train_loss=0.224, train_acc=1.000]
Epoch 0:   0%|          | 91/27187 [00:03<19:50, 22.76it/s, loss=0.497, v_num=0, train_loss=0.224, train_acc=1.000]
Epoch 0:   0%|          | 91/27187 [00:03<19:50, 22.76it/s, loss=0.488, v_num=0, train_loss=0.405, train_acc=0.625]
Epoch 0:   0%|          | 92/27187 [00:04<19:48, 22.79it/s, loss=0.488, v_num=0, train_loss=0.405, train_acc=0.625]
Epoch 0:   0%|          | 92/27187 [00:04<19:48, 22.79it/s, loss=0.492, v_num=0, train_loss=0.496, train_acc=0.875]
Epoch 0:   0%|          | 93/27187 [00:04<19:47, 22.81it/s, loss=0.492, v_num=0, train_loss=0.496, train_acc=0.875]
Epoch 0:   0%|          | 93/27187 [00:04<19:48, 22.80it/s, loss=0.472, v_num=0, train_loss=0.469, train_acc=0.750]
Epoch 0:   0%|          | 94/27187 [00:04<19:47, 22.82it/s, loss=0.472, v_num=0, train_loss=0.469, train_acc=0.750]
